Company,Percent,Total_Number_of_Companies,n,noOfComplaints,product,year
,,,,614.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,613.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,612.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,611.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,610.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,607.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,606.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,605.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,596.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,595.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,595.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,595.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,594.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,592.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,592.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,592.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,592.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,591.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,587.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,585.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,585.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,584.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,581.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,580.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,580.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,579.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,578.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,574.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,572.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,565.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,565.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,563.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,561.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,559.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,557.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,557.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,555.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,554.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,553.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,551.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,550.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,549.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,547.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,546.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,545.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,543.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,542.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,541.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,541.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,540.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,539.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,539.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,535.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,535.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,535.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,534.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,533.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,531.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,531.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,531.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,529.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,528.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,528.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,528.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,527.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,525.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,525.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,524.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,523.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,523.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,521.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,521.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,521.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,521.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,520.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,519.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,519.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,517.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,515.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,515.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,513.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,512.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,511.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,511.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,510.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,510.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,509.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,509.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,509.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,509.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,509.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,509.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,508.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,508.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,508.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,506.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,506.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,506.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,506.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,505.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,505.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,504.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,502.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,501.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,501.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,500.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,500.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,498.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,495.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,494.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,492.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,492.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,492.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,492.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,490.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,490.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,490.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,484.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,483.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,482.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,481.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,481.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,481.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,481.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,481.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,481.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,480.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,480.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,480.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,478.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,476.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,475.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,475.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,475.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,473.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,472.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,472.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,472.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,471.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,471.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,471.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,471.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,471.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,469.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,467.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,466.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,466.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,466.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,465.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,465.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,465.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,464.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,464.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,460.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,460.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,460.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,458.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,458.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,457.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,457.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,457.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,457.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,456.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,456.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,455.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,455.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,455.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,455.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,455.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,455.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,453.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,453.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,453.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,453.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,452.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,452.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,452.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,452.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,452.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,451.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,450.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,450.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,449.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,449.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,448.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,448.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,447.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,446.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,445.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,445.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,444.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,444.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,443.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,443.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,442.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,442.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,442.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,440.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,440.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,440.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,437.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,437.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,434.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,434.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,434.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,434.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,434.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,434.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,434.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,433.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,433.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,432.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,432.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,432.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,430.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,429.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,429.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,428.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,428.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,428.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,427.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,427.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,427.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,426.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,426.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,426.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,425.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,424.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,423.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,423.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,423.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,423.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,422.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,422.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,421.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,421.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,420.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,420.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,420.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,420.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,419.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,418.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,417.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,417.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,416.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,415.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,415.0,Mortgage,2014
,,,,414.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,414.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,414.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,413.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,413.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,413.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,412.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,411.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,410.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,410.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,409.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,409.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,409.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,409.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,409.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,408.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,408.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,408.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,408.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,408.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,408.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,408.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,407.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,407.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,407.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,407.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,407.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,407.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,406.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,404.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,404.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,403.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,403.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,403.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,402.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,402.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,402.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,402.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,402.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,402.0,Mortgage,2013
,,,,401.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,401.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,400.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,400.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,400.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,398.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,398.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,398.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,397.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,397.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,397.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,397.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,397.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,396.0,Credit reporting,2016
,,,,396.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,396.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,396.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,396.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,395.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,395.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,395.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,395.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,395.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,394.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,394.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,394.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,394.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,394.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,393.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,393.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,393.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,393.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,392.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,392.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,391.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,390.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,390.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,389.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,389.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,389.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,389.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,388.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,388.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,388.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,388.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,387.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,387.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,386.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,386.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,386.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,385.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,385.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,385.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,385.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,385.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,385.0,"Credit reporting, credit repair services, or other personal consumer reports",2020
,,,,384.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,384.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,383.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,383.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,383.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,383.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,381.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,381.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,381.0,Mortgage,2013
,,,,380.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,380.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,380.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,380.0,"Credit reporting, credit repair services, or other personal consumer reports",2019
,,,,379.0,"Credit reporting, credit repair services, or other personal consumer reports",2017
,,,,379.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
,,,,379.0,"Credit reporting, credit repair services, or other personal consumer reports",2018
